,intra diversity,inter diversity,coverage,average degree,low-degree accuracy
Random,0.9867716273292899,0.0010059999999999514,1.0,5.826770397217189,0.00045004500450045
ColTrackCfALS,0.7227172255516052,0.0014250000000000096,0.9988647961840488,6.448129933970714,0.06705670567056705
TrackTrackCfALS,0.9448628574609756,0.818881,0.09735674561019808,9.484313670353476,0.13996399639963997
node2vec,0.7034434080123901,0.00151100000000004,0.9987398196171551,4.266251952758858,0.05715571557155716
OpenL3,0.42302262783050537,0.0020819999999999173,0.9948655460434502,6.2085414193172115,0.03555355535553555
Preferential,0.9440508484840393,1.0,0.0010414713907808952,121.42,0.009000900090009001
PinSageOpenL3LFMBestBest,0.6311847567558289,0.0014319999999999888,0.9998958528609219,6.511862671582412,0.11971197119711971
PinSagePageRank,0.6385404169559479,0.0016010000000000746,0.9996563144410423,7.007752921327251,0.07965796579657966
PinSageRandomFeatures,0.9444246776401997,0.004629999999999912,0.9943968839175987,7.692529629861068,0.046804680468046804
