,intra diversity,inter diversity,coverage,average degree
JaccardFast,0.890696220099926,0.439229,0.9937170905845605,44.583293975903615
PinsageRandom,0.9508251510560513,0.9947020000000001,0.9897278000892459,12.522364212405176
