,hr (k=10),hr (k=100),hr (k=500),mrr,low-degree accuracy
node2vec,0.18245016559395114,0.4524151721552209,0.6566425045304005,0.05989137232262914,0.021597421801967255
PageRank,0.7942312899664646,0.988825011976921,0.9976150305151118,0.3819945802489715,0.3497835497835498
PinSageOpenL3,0.4206502947364036,0.6621206440459081,0.8042606594596846,0.13881843859170864,0.0918357683982684
PinSageOpenL3LFM,0.14534253994042784,0.30488554229415316,0.45663833864483744,0.04957633338505602,0.04116755435575661
OpenL3,0.037482555354204423,0.0986429627778125,0.18535066341727593,0.013955348331850475,0.014087518798863646
ColTrackCfALS,0.19867108250536358,0.46083026099273056,0.6873554958445292,0.07088365103051526,0.02130382243851955
TrackTrackCfALS,0.10045512299777125,0.16814034868462163,0.193468932908413,0.030940896454938364,0.0010000000000000002
