,hr (k=10),hr (k=100),hr (k=500),mrr,low-degree accuracy,low-co accuracy
JaccardFast,0.027822437066370297,0.07415899665864598,0.08875988648747801,0.012627187370766159,0.012631451734912863,0.01463992056881225
PinsageRandom,0.003454650740385065,0.01573565537655873,0.049300257884912116,0.0028564789210406075,0.0027354849631923955,0.0033517539421238952
